Game,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN
Name This Game ,98.86692286,121.3046234,142.8727071,138.4790618,199.8395468,186.9438612,107.7334495,190.850204,172.8992512,331.6420923,466.6535852,624.9425352,542.6248809,599.3889107,338.6275719
Phoenix,114.3886447,166.2511708,202.3218532,269.7132358,473.6598458,347.2170185,258.8551048,544.4178255,932.338425,119.1723755,177.298957,494.4593594,344.5473061,524.8040486,250.1527495
Pit Fall,3.711580572,-1.32488933,2.553680861,2.443404698,5.26174835,4.756053374,3.062526584,0.09452242545,4.258235266,-0.8471410856,2.980681597,3.427410318,3.427410318,3.396034722,3.155488488
Pong,107.4626866,106.5671642,110.7462687,109.5522388,110.1492537,109.8507463,107.4626866,110.1492537,70.44776119,134,138.6666667,138,139,138.3333333,139
Private Eye**,-0.7163068861,-0.4983757517,-1.949885287,2.424168941,-0.7618141822,-0.5829342916,8.333976314,7.959367811,-0.717881533,0.1751356295,0.1506914119,0.251775441,0.1122996113,21.78123576,5.666888582
Q*Bert,76.36111578,88.47504621,91.05864561,105.5074777,93.211225,117.5667955,75.56377079,124.793312,125.7418921,97.45920202,112.2901791,140.2359474,143.3771471,126.3409349,113.7031547
Road Runner,524.3336328,654.1479485,643.246481,853.6537886,850.4043127,873.7496256,526.7520216,836.8673255,509.3740641,504.6594753,563.1646135,801.3467799,887.3747367,808.7636433,531.939746
Robotank,866.1538462,763.0769231,872.3076923,752.3076923,815.3846154,916.9230769,746.1538462,729.2307692,467.6923077,636.0824742,648.4536082,581.443299,650.5154639,536.0824742,528.8659794
Seaquest,9.950684277,9.907660475,35.5195062,28.93114451,96.69462799,92.37956444,5.316050863,7.609741783,5.32177079,28.79743059,81.45881394,220.492602,249.5117731,23.29766924,12.06646249
Skiing,27.11278533,-121.6890214,32.73050134,-121.6890214,38.22667402,28.9583477,11.90866147,17.58240811,37.72412247,94.76405419,97.14607529,96.66138996,97.28733433,93.6254007,92.8167917
Solaris**,-8.366906315,1.331048145,-13.76900305,-21.28564115,2.125670532,-3.102811227,6.243461616,5.375386738,-1.014979856,20.25625766,16.51428262,4.278475078,9.147551035,39.73526654,17.74688018
