Game,Difficulty,Discrimination,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Reactor,Noop-Noisy DQN
Amidar,2.4923,78.0941,10.8988617,11.53997122,10.29046186,5.698024336,13.51563522,10.52597148,8.91011383,14.77822844,16.4922151,58.20859777,107.023111,122.5002994,140.6238774,75.5658005,49.52700275,95.9286313
Assault,-0.7708,1.8294,719.1341991,564.3722944,1275.735931,630.8225108,1641.038961,828.5497835,1073.030303,1068.051948,1148.917749,318.5929648,405.9987437,607.9852387,345.3674623,446.4981156,847.2911432,390.7192211
Asterix,1.1733,74.4803,40.77867463,69.46347419,226.175134,122.5666418,430.6179204,212.6500712,110.0562979,5364.376314,298.1211422,50.03014591,206.7550947,495.0922465,337.3688653,4827.197637,434.4447124,147.0372603
Atlantis,-1.1099,2.6871,2128.035387,1884.479866,2335.456071,1480.041184,4424.794082,3293.906345,2213.266473,2107.535082,6845.851129,1651.236247,576.1280752,2564.025219,2285.338113,1613.580171,1825.985907,1954.25887
Bank Heist,1.2731,24.8152,46.72447013,71.9492614,138.7764933,128.773282,127.6653821,177.8420039,149.8554913,130.6840077,152.2800257,61.20522077,141.1274646,154.4848653,221.8411552,144.7514579,135.3096362,181.727298
Battle Zone,2.8353,2.4685,68.51034951,73.56633865,71.869698,63.42042755,86.66440448,94.19748897,79.48761452,97.35324058,31.86291144,77.70880361,82.78781038,100.9311512,98.16591422,109.4384876,166.0835214,83.77539503
Beam Rider,1.4068,1.1584,64.52020889,60.20032095,116.7015721,80.15081869,176.2368765,97.48612849,101.9073329,100.2815101,152.6770658,152.715714,247.8035889,407.8061762,218.072111,237.46558,151.5884016,224.9099074
Boxing,-2.1137,1.4113,646.8468468,482.8828829,675.6756757,640.5405405,631.5315315,709.9099099,610.8108108,572.972973,552.2522523,2092.857143,2178.571429,2350,2364.285714,2333.333333,2364.285714,1980.952381
Breakout,-0.442,4.0757,1341.825095,1281.749049,1396.577947,1823.193916,1406.844106,1558.935361,1603.422053,2080.228137,2586.692015,1275.083056,1384.717608,1261.79402,1141.528239,20343.18937,1716.611296,1519.601329
Centipede,-4.9378,-0.48837,24.39616979,38.60106712,22.9622219,12.3136106,17.82192368,35.19960936,27.26049259,66.11643085,21.79862798,26.000547,33.61493502,31.24461867,55.41374176,70.14313064,13.28896587,22.94243373
Chopper Command,2.839,2.4495,52.77576635,22.19406227,34.40743423,72.90610669,71.92855419,37.89524499,98.17161477,108.0919623,76.96113927,58.59331937,55.09866608,47.66839378,114.6951824,135.8725609,405.2144196,95.99823614
Crazy Climber,-0.9109,4.1155,380.5872267,364.2434634,447.6853836,428.6326618,521.8559794,493.9091299,382.5096442,621.8581226,442.8161166,405.9296401,432.3968251,699.7685796,539.1262865,680.3536266,745.281257,438.4299953
