Game,Human-Human,Human-DQN,Human-DDQN,Human-DDQN-T,Human-DQN Prio (RB),Human-DDQN-T Prio,Human-DDQN-T Duel,Human-Noisy DQN,Human-Distrib. DQN,Human-A3C,Noop-Human,Noop-DQN,Noop-DDQN,Noop-DDQN Prio,Noop-DDQN Duel,Noop-Distrib. DQN,Noop-Noisy DQN
Robotank,9.908536585,85.82317073,75.6097561,86.43292683,74.54268293,80.79268293,90.85365854,73.93292683,72.25609756,46.34146341,14.78658537,93.76899696,95.59270517,85.71428571,95.89665653,79.02735562,77.96352584
Seaquest,13.64335167,1.35760685,1.351736961,4.846051143,3.947177788,13.19238815,12.60366885,0.7252875143,1.038223833,0.7260679041,6.824542921,1.964312603,5.556418455,15.04010559,17.01954342,1.589166268,0.8230701092
Skiing,96.54942823,26.17723921,-117.4900544,31.60111191,-117.4900544,36.9076352,27.95911913,11.49774456,16.9757145,36.42242456,1386.921784,94.16233228,96.52922829,96.04762055,96.66959038,93.03090888,92.22743429
Solaris**,87.41086629,-7.313585291,1.163480714,-12.03560484,-18.60596333,1.858067027,-2.712194173,5.457463884,4.698672114,-0.887202685,107.888516,20.25625766,16.51428262,4.278475078,9.147551035,39.73526654,17.74688018
Space Invaders,2.945960475,2.552874741,3.016720502,5.619678639,3.478958082,20.40186182,13.34906289,3.479647303,14.21173789,35.71979948,3.455294826,3.54506221,5.457738396,17.32909416,14.41462743,15.4288141,4.585418484
Star Gunner,5.382491513,31.86037582,31.91035479,35.14862649,35.5027458,31.24417166,54.92018602,18.99658071,40.4448738,83.81900298,5.842663757,32.67358107,36.24453084,34.11110163,53.97496679,41.82916723,20.62162557
Surround,93.20987654,22.83950617,12.96296296,71.60493827,27.16049383,54.32098765,84.56790123,40.74074074,87.65432099,0,101.8518519,26.66666667,43.03030303,73.33333333,87.27272727,98.18181818,40.60606061
Tennis,32.66666667,72.22222222,72,30.22222222,42.44444444,43.11111111,57.33333333,42.88888889,97.77777778,33.55555556,33.11111111,75.94936709,2.109704641,50.21097046,60.97046414,100,50.21097046
Time Pilot,7.636457095,4.860731841,6.752979728,10.71417098,6.804382048,13.41279275,10.69168246,6.54737045,14.17258329,30.21813859,7.572204196,4.222885314,15.47418267,25.55786196,26.26491956,13.96925272,8.397119875
Tutankham,6.238513883,1.634133015,2.528187553,3.948740873,4.162320568,1.038096657,1.753340287,5.493468435,5.543138131,7.13256842,7.758406596,2.814454482,10.27499255,3.762533505,9.927529038,11.81375956,10.93020947
Venture,2.62589373,0.3034823312,0.1465973973,0.007715652487,0.2366133429,0.5812458207,0.4680829175,-0.01928913122,1.141916568,0.01285942081,3.055398385,0.4190231362,0.2519280206,2.218508997,1.277634961,2.845758355,0
Video Pinball*,-0.1373155578,3.823625617,3.66577081,9.914888844,5.550772134,10.11649088,2.583795343,6.319321394,12.40463064,8.881772586,0.04312785711,5.145876205,8.372506091,11.12295923,2.336342144,13.18201957,7.246499026
Wizard of Wor ,2.915397526,0.6255050662,-0.5042891776,4.193603531,1.515975632,5.16488469,4.856405793,3.102272021,8.563203208,12.7742898,3.258454031,1.660119516,5.373575365,7.608008593,5.655109298,11.96790668,3.775889682
Yars Revenge,2.27198437,0.1542877141,0.1971813507,0.2385373847,0.2562571341,0.2233355216,1.219114778,0.1995599073,0.3379142775,0.2826700602,2.561874693,0.746860281,0.4292666242,0.6652768635,2.317184196,0.6730905847,0.3225687412
Zaxxon,9.57404626,4.730549715,8.890357465,9.754280565,6.519675578,10.84529889,11.64193451,8.621808351,17.60889156,29.01411835,10.98323821,6.371052081,12.10804673,16.08450115,15.43191801,21.89022022,11.18415155
