Game,Human-A3C
Alien,518.4
Asteroids,4474.5
Berzerk,817.9
Bowling,35.1
Defender,56533
Gravitar,303.5
Krull,5560
Montezuma's Revenge,67
Ms. Pacman,653.7
Phoenix,52894.1
Pit Fall,-78.5
Private Eye**,206.9
Skiing,-10911.1
Solaris**,1956
Surround,-9.7
Yars Revenge,7157.5
